series_index,slug,units,warnings,meta_status
1,001_勸誘_1911-01,5,87,updated
2,002_信念_1911-04,4,76,updated
3,003_宗敎_1911-06,6,140,updated
4,004_人乃_1911-07,6,108,updated
5,005_觀感_1911-08,8,200,updated
6,006_還人_1911-09,8,125,updated
7,007_大雄_1911-10,10,177,updated
8,008_因果_1911-11,8,152,updated
9,009_運命_1911-12,6,100,updated
11,011_死後_1912-02,12,178,updated
12,012_我觀_1912-03,12,177,updated
13,013_宇宙_1912-04,8,149,updated
14,014_自修_1912-05,6,100,updated
15,015_東經_1912-06,8,125,updated
16,016_東經_1912-07,8,133,updated
17,017_東經_1912-09,8,113,updated
18,018_靈通_1912-12,10,170,updated
19,019_理想_1913-01,6,116,updated
20,020_光說_1913-02,10,302,kept(5표본)
21,021_默念_1913-03,4,97,updated
22,022_紀念_1913-08,12,221,updated
23,023_個性_1914-01,6,106,updated
24,024_定州_1914-03,10,145,updated
25,025_吊孫_1914-04,6,83,updated
26,026_韓錫_1914-05,6,80,updated
27,027_定州_1914-08,8,192,updated
28,028_余暗_1914-10,6,105,updated
29,029_真理_1914-11,10,176,updated
30,030_最高_1915-05,6,87,updated
31,031_篤心_1915-06,6,203,updated
32,032_人生_1915-08,14,291,kept(5표본)
33,033_金剛_1915-09,6,160,updated
34,034_大宇_1915-10,6,133,updated
35,035_人生_1917-01,6,101,updated
36,036_是我_1917-11,6,108,updated
37,037_吾敎_1917-12,14,242,updated
38,038_新年_1918-01,6,79,updated
39,039_宗敎_1918-02,6,81,updated
40,040_信仰_1918-03,10,264,kept(5표본)
41,041_兩道_1918-05,10,278,updated
42,042_大神_1918-07,10,328,updated
43,043_追悼_1918-09,6,127,updated
44,044_百號_1918-12,10,299,updated
45,045_新年_1919-01,5,144,updated
46,046_將來_1919-02,6,282,updated
47,047_我觀_1919-03,5,153,updated
48,048_靈通_1919-04,5,205,updated
49,049_默念_1919-05,7,340,updated
50,050_眞實_1919-06,8,355,updated
51,051_愛開_1919-07,5,74,updated
52,052_自覺_1919-09,6,249,updated
53,053_今日_1919-10,5,27,updated
54,054_十月_1919-11,5,171,updated
55,055_改造_1919-12,5,26,updated
56,056_天道_1920-01,6,297,updated
57,057_天道_1920-02,6,262,updated
58,058_庚申_1920-04,6,264,updated
59,059_哲人_1920-05,5,182,updated
60,060_自己_1920-06,8,81,kept(5표본)
61,061_自己_1920-07,5,413,updated
62,062_十週_1920-08,9,338,updated
63,063_法門_1920-09,8,344,updated
64,064_布德_1920-10,5,214,updated
65,065_拘束_1920-11,8,336,updated
66,066_布德_1921-02,8,287,updated
67,067_同歸_1921-03,7,301,updated
68,068_性無_1921-06,5,263,updated
69,069_新文_1921-07,5,318,updated
70,070_中國_1921-12,6,161,updated
71,071_新紀_1922-01,6,275,updated
72,072_進化_1922-02,5,168,updated
73,073_信仰_1922-03,8,329,updated
74,074_信仰_1922-04,6,254,updated
75,075_宗教_1922-05,6,157,kept(5표본)
